item,reconstruction_or_headword,gloss,attestations,notes,external_comparanda,discussion
68,*k̂ér-(h₂/u-),‘horn’,"Hit. karāwar; Toch. B krorīya; Lat. cornum; Gaulish κάρνυξ ‘trumpet’; Goth. haúrn; Latv. sirna ‘roedeer’; Myc. ke-ra, Gr. κέρας; Arm. ełj̆ewr; Ved. śŕ̥n-ga-.","This set of cognates is widespread, but reflects a number of different derivations (Mallory & Adams 1997: 272f.) and sometimes also means ‘head’. The present discussion refrains from further treatment of the derivations as long as the very ancient nature of the root can be established with internal evidence alone. For an in-depth scrutiny, see Nussbaum (1986).",Semitic: *ḳar-n- < Afro-Asiatic *ḳar-,"Further Afro-Asiatic comparanda in Egyptian ḳr.ty (dual) and Omotic [ḳ]ar (Orel & Stolbova 1995: 337) actually suggest loan from Afro-Asiatic → PIE, although the n-derivation is only known from Semitic. The fact that PIE and Afro-Asiatic both share the stem form, while Proto-Semitic only betrays the n-extended form also known in PIE does suggest some correlation, the exact nature of which, however, is difficult to pinpoint, including the conditions conducive for the transfer of such a common item that must have played an important role already in hunter-gatherer communities. Gamkrelidze & Ivanov (1995: 773) adduce from the material that Semitic borrowed its term from PIE, but the internal evidence of Afro-Asiatic is problematic for this analysis. It remains, however, difficult to extricate the relationship since both families have an identical development of original *KVr- > *KVr-n-. Similar seemingly inexplicable parallel phenomena are observable also between Kartvelian and PIE in the word for ‘wine’ (item 133)."
69,*k̂er-d-,‘heart’,"Hit. kir, CLuw. UZUzārt-; Toch. B käryāñ (pl.); Lat. cor; OIr. cride; Goth. haírtō; Lith. širdis; OCS srŭdĭce; Gr. κῆρ; Arm. sirt; (?)Ved. hŕ̥d-, (?)Av. zərəd-","The root is indisputably reconstructable for the oldest stratum that may be arrived at with internal evidence alone. Formally the Indo-Iranian initial velar is incompatible with the rest of the stock, which prompts Mayrhofer to dismiss the connection altogether, preferring instead Ved. śrád- (II:818), which, indeed, trumps the voiced option. This anomaly does not question the ultimate fate of the reconstruction. A thorough treatment of the forms is given by Szemerényi (1991:172-190).",Kartvelian: *m̥ -k’erd- ‘chest’ (Klimov 1998:123) or *ḳward (Fähnrich 2007:234),"The Svan comparandum (Klimov məč̣ wed, muč̣ od ‘chest’; Fähnrich ḳward-wim ‘body, hull’) is contended which brings the initial *m-, as reconstructed by Klimov, into question. Fähnrich’s reconstruction seems preferable as it dispenses of the prefix that appears productive in nominal formations (cf. also Klimov 1998: 111f.). This PIE-Kartvelian comparison may be grouped with *h₁esh₂-r ‘blood’ (item 33) that falls within the same semantic category, albeit with significantly less appealing formal correspondences. The comparison is, altogether, convincing, despite the slight semantic shift."
70,*k̂seh₁-ro-,‘dry’,(?)Toch. A ksär ‘in the morning’; (?)Lat. serēnus ‘clean’; (?)OHG serawēn ‘weaken’; Gr. ξερόν; (?)Arm. čՙor; (?)Ved. kṣārá-,"Only the Graeco-Aryan cognates are secure according to Mallory & Adams, who assume it derived from *k̂seh₁- ‘to burn, singe’ (1997: 170), but Mayrhofer rejects the appurtenance of the Vedic item to this group (1989: 430), and there are formal quantitative problems with the vocalism in the European languages (Beekes 2010: 1035f.). Excluding the elusive Tocharian form (cf. Adams 2013: 199), the whole set is accepted by Solta (1960: 234), but a clear picture cannot be drawn at present.",Uralic: *kośke > e.g. North Saami goikat and Mordvin kośke,"Sammallahti suggests that the Uralic form continues a borrowing from PIE (1998: 118). The meaning ‘dry’ is not evident in the oldest layers of PIE as it is only continued in Graeco-Armeno-Aryan, and the general confusion as to the exact appurtenance of the IE forms further hampers a clear chronological stratification. All older layers betray meanings that, at best, may continue the verbal root suggested by Mallory & Adams (1970:170), although this remains speculative. The semantics thus tentatively suggest that the item transferred into Uralic from late PIE."
71,*k̂seul-,"‘beam, post, piece of wood’","Goth. sauls ‘column, post’; Lith. šùlas ‘post, jamb, doorpost’; Rus. šúla ‘garden post’; Gr. ξύλον, var. σύλον.","Several aspects make the native status of this item highly questionable, including the atypical onset cluster, the very specific meaning in all attestations, and the distribution limited to a small handful of (nearly contiguous) European branches (cf. Beekes 2010: 1037f.).",NE Caucasian: *č̣ ɨwłu ‘beam’ > e.g. Chechen č̣ erg ‘transversal ceiling crossbeam’,"The phonetic shape of this reconstruction certainly seems to correspond with the reception in the IE languages, and the superimposable semantics bolster this scenario. Somewhat problematic is the geographic distance between the IE languages in Europe and the NE Caucasian family, but the fact that prehistoric migrational patterns, of people and, especially, words remain ephemeral, this cannot be elevated to a decisive counter-argument when, on linguistic evidence alone, the comparison is so attractive. Given the lack of internal explanation for the item in PIE, the item may well have emanated from NE Caucasian, as suggested by S. Starostin (2009: 97), or a language related hereto."
72,*k̂won-,‘dog’,"Hit. LUkuwan-/kun- ‘dog-man’, HLuw. zú-wa/i-n(i)-; Toch. A & B ku; Lat. canis; OIr. cū; Goth. hunds; OPrus. sunis; Rus. súka ‘bitch’; Gr. κύων; Arm. šown; Ved. śva ́-, Av. spā-.","An early extension of the root accounts for the Germanic stock, which is comparable to Latvian sùntena ‘big dog’ and Armenian skund ‘small dog’ (Mallory & Adams 1997: 168), but this formation need not be old. It may be noted that there is a different treatment of the sequence *k̂w- in the centum languages than in ‘horse’ (item 32).","Uralic: *kVn- > e.g. Selkup kanan, Udmurt kyjon, North Saami gaidne ‘wolf’ Yukaghir: *keδe ‘wolf, dog’","The semantic gap from ‘wolf’ to ‘dog’ is hardly insurmountable, cf. that the shift also occurs in certain IE branches (Mallory & Adams 1997: 168), and the somewhat scanty attestations from across the Uralic pallet (Samoyedic, Volgaic, and Saami) may thus be considered likely comparanda. Chronologically the Uralic proto-language is required, making a transfer from dialectal IE implausible. The term may have migrated as far as China, where, according to Gamkrelidze & Ivanov, it was adopted around the middle of the second millennium BCE, cf. Old Chinese k’iwen (1995: 507), but this, obviously, has to be seen as a secondary transfer, possibly from Proto-Tocharian. This protracted journey suggests that an earlier loan into Uralic from PIE is probable, although the relative scarcity of Uralic material makes an exact reconstruction difficult, which further makes the comparison with exact IE strata difficult; that it cannot be compared to a satəm continuant, e.g. Indo-Iranian, is, however, very clear. This comparison requires that Selkup k- is the reflex of PIE *k̂- (cf. the discussion of ‘catfish’, item 78), and a case for an Indo-Uralic item could easily be assembled."
73,*kaĝo-,‘goat’,"Old Low German hōken; OCS koza; Alb. kedh, kec ‘kid’",Very limited distribution questions ancient PIE moorings for this item. Connections with PIE *h₂e(i)ĝ- (item 40) are formally impossible (cf. Mallory & Adams 1997: 229). The reconstructed a-vocalism is noteworthy.,NE Caucasian: *q oVcV > e.g. Lezgian ʁec,"The Slavic forms may, according to Derksen, be borrowed from a Turkic language relatively late (2008: 242), ostensibly within the first millennium CE. S. Starostin proposes this Northeast Caucasian connection (2009: 81), but the formal correspondence is not very attractive."
74,*kə2p-,"‘monkey, ape’",(?)Celt. abrános (Hes.); (?)ON api; (?)ORus. opica; Gr. κῆπος; Skr. kapí-,"The forms are obviously incompatible, agreeing only barely in the internal labial stop, which naturally prompts Mallory & Adams (1997: 384f.) to deny that the PIE lexicon should have had a term for ‘monkey’, corroborating the lack of convincing cognates with palaeozoological and archaeological evidence; that Sanskrit and Greek likely ultimately are related rests on a common donor language. Gamkrelidze & Ivanov’s suggestion that the word should be of PIE origin (1995: 442) is consequently bordering the preposterous.","Semitic: Akk. uḳūpu, Heb. ḳôp a, Aram. ḳōp ā Egyptian: gif","There is little doubt that this item represents a later loanword in a few IE branches, as suggested by Mallory & Adams (1997: 384f.), and although it may thus ultimately be related to the Semitic (and Egyptian) forms in question, it is beyond the scope of the current investigation and hardly an argument in the discussion of the location of an ostensible PIE homeland."
75,*kist-,‘container’,"Welsh cest ‘hull, basket’; Gr. κίστη ‘box, chest’","Only possibly inherited in Celtic and Greek, the term has demonstrably travelled as a loan across the European branches of IE, cf. Old High German kista, Latin cista, and even Irish ciste (Beekes 2010: 705). It is thus conceivable that the older Celtic layer also represents an item culturally transferred through borrowing.",Semitic: *kīs ‘small bag’,"Weak IE evidence makes a PIE item highly unlikely, and the grammatical derivation (*-at) suggested as the proof of its origin (Dolgopolsky 1989: 8) is not documented in Semitic. The forms may be connected, but it is not relevant for PIE and consequently beyond the scope of the present paper. A comparable item of trade is PIE *kʷer- ‘kettle’ (item 83)."
76,*kleh₂-u-,"‘lock, key’",Lat. clāvis; Welsh clo ‘bolt’; Lith. kliu ́ti ‘to get stuck’; OCS ključĭ; Gr. κλᾱΐς (Doric),"The age of the item within PIE is questioned by the lack of Anatolian and Tocharian comparanda. A tentative connection with the verbal root *kleh₂- ‘to strike, beat’ is formally attractive, but requires some semantic qualification, possibly from the action of barring a door.","Semitic: *k-l-’ ‘to detain, lock’ > e.g. Akk. kalû, Ge’ez k-l-’, Arab. kala’a ‘guard’ Kartvelian: Old Georgian klite North Caucasian: *ḳułɨ- > e.g. Lak k’ula","Gamkrelidze & Ivanov proposed that PIE borrowed the term from a Semitic source (1995: 771), but the semantics are, perhaps, a bit too loosely affiliated to warrant the loan relation of a concrete cultural item (Diakonoff 1985: 123f.), and the phonetics may similarly be questioned as major root restructurings are needed for the IE forms to continue the attested Semitic forms (cf. Mallory & Adams 1997: 272). Old Georgian is convincingly ascribed to a late borrowing from Parthian *klīt, ultimately from Greek (Diakonoff 1985:124), but the sporadic yet consistent attestations in the North Caucasian languages may convincingly posit the root as an attractive item, cf. also Hattic kaluḫ ‘bolt, bar’ (S. Starostin 2009: 96). Matasović denies the connection because of the internal PIE derivation (2012: 289), but if that derivation is questioned, perhaps in light of folk-etymological association or a secondary denominal verb formation, it renders an external connection more attractive; the formal and semantic likeness certainly makes a rejection hard to substantiate."
77,*kond-u-,‘hand’,Goth. handus,"However widespread in Germanic where it is the primary word for ‘hand’, the distribution is severely limited. According to Kroonen, it is derived from the Germanic verb *hinþan- ‘to reach for’ (2013: 207f.). It is generally difficult to establish a common PIE word for ‘hand’ as several substitutions demonstrably have occurred (cf. Ringe et al. 2002: 73f.), although *ĝhés-r- seems to have solid evidence in Anatolian, Tocharian, and Greek.",Uralic: FU *käti > Fin. käsi,"Schrijver actually posits a lost substratum language as the origin of both the Fenno-Ugric and the Germanic forms (2003: 223), and the etymology is consequently beyond the scope of the present paper."
78,*(h₂)(s)kwal-o-s,‘catfish’,"Lat. squalus ‘large fish’; Germ. *hwali- ‘whale’; OPrus. kalis ‘wels catfish’; Gr. (Hes.) ασπαλος ‘fish’; YAv. kara ‘name of a fish’, MPers. kar māhīk ‘mythical fish’.","The inclusion of the Greek form demands an extension of the root with initial *h₂s- not otherwise warranted, although possible. De Vaan’s suggestion that Latin is an internal derivation to homonymous squālus ‘unkempt, dirty’ (2008: 584) is semantically unconvincing, and the Italic s- form gains plausibility in light of Greek. The semantic development of a riverine ‘fish’ to a maritime ‘whale’ in Germanic, Old Prussian ‘catfish’ or Italic ‘large sea fish’ is not surprising in light of the native distribution of the catfish, a large river fish, historically absent in Western Europe (fishbase.com). The circumstantial evidence in favor of the Graeco-Aryan sub-set is presented by Rodriguez (1989). Kroonen reconstructs the word internally in PIE as a derivation from the verbal root *kʷelh₁- ‘to turn’ (item 80) → *kʷol- ‘the turner’ (2013: 262), but this fails to explain the consistent a-vocalism, which presents an additional problem for the age of the stock. In defense of an old PIE item, and given the distribution of the wels catfish on the Pontic steppes, loss may be expected in emigrant branches such as Anatolian, Celtic, Armenian, etc., although this is very ad hoc and fails to account for the lack of Slavic evidence. There are no reflexes in Anatolian and Tocharian, but the intricacies regarding this particular sphere are salient, especially in the former branch (cf. Mallory & Adams 1997: 204f.).",Uralic: *k(w)ala,"There are several phonemic features that are relevant to the comparison with the Uralic material. Most salient is the unquestionable IE labiovelar which does not exist in traditional reconstruction of Proto-Uralic, and there is no vocalism that could round the velar from assimilation. Although strictly tentative, Samoyedic Selkup does alternate two different reflexes of Uralic initial *k-, viz. q- and k-, that are seemingly unconditioned by the phonetic environment (Collinder 1960:50), and further seems to correspond to IE labiovelar comparanda, cf. *gʷelh₁- ‘die’ (item 26) with q- for PIE *gʷ- opposing k- for *k̂-, e.g. *k̂uon (item 72) and pronominal kut ‘who’ for PIE *ku- (traditionally reconstructed as PIE *kʷ-, cf. Bjørn 2016: 9ff.); Attractive, of course, in light of the Indo-Uralic hypothesis, the ramifications to Uralic linguistics of this analysis are palpable as it demands an expansion of the traditionally reconstructed phoneme inventory of Proto-Uralic, and it is important to stress the caution with which this proposal is put forward, including this author’s very limited familiarity with the Samoyedic languages in general, and Selkup in particular. Confounding factors include some variation within the interrogative pronoun. Rédei suggests further connections among the steppe languages, cf. Proto-Tungusic *kcolo ‘fish’ (UEW: 119), that similarly could provide a comparable phonetic environment. Within such a paradigm, ancient loan relations may work in either direction. A substrate origin has been suggested by Schrijver (2001: 423), but it has to be very old to account for widespread Uralic occurrences, incl. Samoyedic, as well as a diverging PIE dialect continuum. A very early loan Uralic > PIE seems to be the most probable solution, although chance resemblance in some of the more southern IE branches may strengthen the case for a later borrowing with more limited regional distribution in Northeastern Europe."
79,*kʷekʷlo-,‘wheel’,"CLuw. kalut(t)i- ‘to make the rounds of (?)’; Toch. A kukäl ‘wagon’, Toch. B kokale ‘id.’; ON hvél; Lith. kãklas; Gr. κύκλος; Ved. cákra-, Av. čaxra","The formation is at least of early middle PIE date with secure semantic continuation from Tocharian. The more sporadic Anatolian evidence probably relate a ‘circle’ (cf. Melchert 1993: 99) and may prove diagnostic in matching the linguistic data with the archaeological record. The formation is morphologically transparent PIE with reduplication of the verbal root *kʷelh₁- ‘to turn’ (item 80., cf. Mallory & Adams 1997: 639). Of stratificational interest is another lexical ‘wheel’ isogloss shared by Tocharian and Anatolian, *h₂urgis (item 56), but note that the formations are demonstrably different.",Kartvelian: *grgar Semitic: (?) *galgal Sumerian: gigir(2)(a),"Possibly further evidence in Dravidian *tikVr (Sahala 2009: 6f.). The reduplication of all examples is curious, especially as a direct phonetic match with PIE is impossible, e.g. in Kartvelian where the connection with the native old verbal root *kr- ‘to turn, wallow’, too, is evident (Klimov 1998: 31); the form is scarcely attested, known only from a 17th century dictionary (Fähnrich 2007: 110f.). Albeit less phonetically complex, the case for Sumerian is similarly complicated by the native verb kìr ‘to roll’. The morphological and phonetic accidence suggest that the demonstrable technological invention of the wheel was absorbed across linguistics boundaries but quickly gained local folk-etymological reshaping. The item was also borrowed into Uralic languages, but demonstrably later, e.g. Komi gögylʹ. The Semitic form has proved difficult to substantiate and is not included by Militarev (2006). A case for chance resemblance requires too many identical yet, then, necessarily independent innovations of a technical implement that spread at a rapid pace; this phenomenon is reminiscent of the modern advent of the computer which has been borrowed directly in some languages, e.g. Danish, Russian, and Zulu ikhompyutha, but given calques or reinterpretations in other, e.g. Icelandic tölva and Catalan ordenador."
80,*kʷelh₁-,"‘to turn, wander’","CLuw. kuwalīti; Toch. AB käl- ‘to lead, bring’; Lat. colō to ‘inhabit, honor’; Welsh pall- ‘to end’; Alb. sjell; Hom. πέλομαι; Ved. cárati, Av. caraiti.","The antiquity of this root in PIE is beyond dispute, although the mercurial semantics understandably bring some comparanda into question. The common IE word wheel is naturally considered a derivation hereof, *kʷekʷl-o-s (item 79).","Uralic: *k(w)ulke- > e.g. Saami golga-, Fin. kulkea, Hun. halad, Selkup qur- ‘swim’ etc. Yukaghir: *kel- ‘to come’ (Nikolaeva 2006: 205, UEW 198)","Semantics, as within IE itself, are difficult to pinpoint, but the (relatively) stable situation within Uralic surely makes the comparison more attractive. Formally this root echoes the curious parallel of PIE *Kw and Selkup q (cf. the discussion of item 78) and may additionally show a reflex of PIE *h₁ (Koivulehto 2001: 237). Nikolaeva prefers connecting Yukaghir with Uralic *kälä ‘to wade’, which may have further comparanda in Turkish kel- ‘to come’ (UEW: 133f.), but as of yet there is no decisive evidence for assigning Yukaghir to one root or the other. All things considered, this connection, if viable, is necessarily of great antiquity as it likely answers the criteria for the oldest stratum of both PIE (Anatolian and Core-IE) and Uralic (Samoyed and Fenno-Ugric), including Yukaghir."
81,*kʷen-,‘to kill’,"Hittite ku-en-zi; Lat. -fendō; OIr. gonim; OHG gund- ‘battle’, (?)Germ. *banjō ‘wound’; Lith. giñti ‘to hunt, drive’; OCS goniti ‘id.’; Gr. φόνος ‘murder’; (?)Arm. gan ‘beating’; Ved. hánti, Av. janaiti.","Olsen considers the Armenian form a reflex of a Middle Iranian loan on account of missing i-epenthesis (1999:872), but Martirosyan defends the connection (2010:198). Kroonen drives a wedge through the Germanic stock by positing a PIE provenance *bʰon- for ‘wound’, a root also also found in OAv. bąnaiiən (3pl.inj.) ‘to make ill, afflict’ (2013:51); such a split would obviously not jeopardize the rest of the IE cognate set.","Semitic: *gny > Arab. ğanā ‘to commit a crime, harm, inflict’ HU: Urartian gunušə ‘battle, war’ Kartvelian: Georgian-Zan *gʷem- ‘to beat, torment’ (cf. Fähnrich 2007: 105)","A Hurro-Urartian loan of an o-graded nominal form, as suggested by Dolgopolsky, cf. the Greek derivation (1987: 22), is not impossible, although by no means necessary. The connection with Arabic ğanā (Bomhard 1981: 433) has nothing by shallow resemblance in its favor. Internal evidence alone establishes *gʷʰen- as PIE; the extra-familiar evidence is unconvincing, although unfalsifiable. Considering the Germanic unrelated and derived from PIE *bʰon- ‘wound’ (item 6), Bomhard suggests a connection with NW Caucasian *ban- 'to fight' (2015: 18), but neither semantics nor further Caucasian connections establish circumstantial evidence in favor of this proposal. Kartvelian is included here by the present author on shallow resemblance alone. There is no imperative to consider any of the proposed comparanda related to the PIE, although the downright rejection, as most often, is beyond our reach; it is, nonetheless, not excluded that the comparanda may be revisited if circumstantial evidence demand it."
82,*kʷep-,‘smoke’,"(?)Lat. vapor; (?)Goth. af-hwapjan ‘to suffocate, extinguish’; Lith. kvãp- ‘smoke, seethe’; Gr. καπνός, Myc. ka-pi-ni-ja; Ved. kapi- ‘pleasant odor’","This set contains some formal problems, most notably the glide as it appears to be part of the preceding phoneme for a reconstruction with initial *kʷ- instead (but Mycenaean clearly does not continue a labiovelar) or, as Schrijver suggests (1991: 260f.), from *kuh₂p-, which, too, could explain the vocalism. A completely satisfactory phonological equation cannot, however, be drawn without dialectal idiosyncrasies (cf. Frisk 1960: 782f.). Limited distribution renders late or late middle PIE the earliest secure stratum for the formation.","Kartvelian: *ḳwam > e.g. Georgian ḳwam-li, Svan ḳwām-e","This item is phonetically comparable to the Kartvelian comparandum under PIE *(s)gʷes- ‘to extinguish’ (item 110). Formally a Georgian-Svan lexical isogloss (Fähnrich 2007:233), the distribution suggests loss in the Zan languages (Klimov 1998:91). Irregularity in the IE reflexes prompts Smitherman to posit Kartvelian as the point of departure (2012:508), an analysis tacitly corroborated by the distributional patterns of both families. The final *-m in the Kartvelian is ostensibly matched by PIE *-p, which, although homorganic, represent distinct phonemes in both languages."
83,*kʷer-,‘kettle’,OIr. coire; ON hverr; OCS črěnŭ ‘frying pan’; Ved. carú-,"Despite various derivations the PIE nature of the root seems well-established, at least for the middle strata, as it is without Tocharian and Anatolian evidence.","NE Caucasian: *ḳwӑrV ‘clay vessel’ > e.g. Lak ḳwara ‘v. for flour; oven for bread’ HU: Urartian kiri ‘kettle, basin’","The item is an obvious candidate to the Wanderwort category, as proposed for the Urartian item by Dolgopolsky (1987:23), and could have disseminated as a special item of trade value. Formally the labiovelar seems to be satisfied with the NE Caucasian connection posited by S. Starostin, who further suggest that Hattic karam ‘wine vessel’ be related (2009:96). Altogether these data indicate a tentatively promising loan etymology."
84,*kʷrei(h₂)-,‘to pay’,"Toch. A kuryar ‘trade’, Toch. B käry ‘to buy’; OIr. crenaid; OLith. krieno (gen.) ‘brideprice’; ORus. krĭnuti ‘to buy’; Gr. πρίαμαι; Ved. krīṇāti.","An old form, although there is no indication of Anatolian reflexes, rendering early middle PIE the prudent reconstructional stratum.",Semitic: *krj- ‘to trade’ > e.g. Heb. krj/w,"Dolgopolsky suggests a loan from Proto-Semitic (1989: 7), but Diakonoff argues that the distribution is limited to its western branch and further relates it to an Afro-Asiatic root *kr̥- ‘expenditure’ (1985: 124,170 fn.36). Note that Orel & Stolbova do not include the term at all (1995) and the genesis of the term cannot be securely established here. The direction of transfer may thus preferably be posited from PIE. Semantically, the item evidently fits right into a trade jargon which constitutes its strongest positive argument."
85,*lāp-,‘cattle’,"(?)OIr. lá-eg ‘calf’; Swiss German loobe, lioba ‘cow’; Latv. lõps; Alb. lopë ‘cow’","The sporadic evidence only in European languages leave little room for ancient PIE status. The Celtic connection, suggested by Pedersen with -g- extension (1913:22), is not imperative for the reconstruction. The attempt to connect Latvian with ‘lamb’ in the Germanic languages (item 36) by Mikkola (1896: 219f.) is outdated.","Semitic: *álap- ‘bull, cattle’ > e.g. Phoenician āleph ‘cattle, the letter a’.","Proposed by Dolgopolsky as a direct loan relation between PIE and Semitic (1989: 9), the scanty European attestations suggest a regional innovation, perhaps from substrate (Demiraj 1997: 245), likely connected with the general dispersal of agricultural terms, which may, however, help associate the Semitic forms. The item is well-established in Semitic (cf. Tyloch 1975: 56), but appears to be without Afro-Asiatic cognates (cf. Orel & Stolbova 1995 and, particularly, Militarev 2006: item 2315), further substantiating the substrate hypothesis."
86,*leĝ-,"‘to gather, collect’",Lat. legō; Goth. lēkeis ‘doctor’; Alb. mb-leth; Gr. λέγω.,"Apart from the affixed Albanian verb and the Gothic nominal derivation, there is no problems in establishing the above comparanda as cognates. Rather limited distribution, on the other hand, both in the number of branches and their mutual geographic proximity, suggests that the lemma is an innovation. It may be noted that a synonym exists reconstructed for PIE as *les- with reflexes in Hittite, Gothic, and Lithuanian (Beekes 2010:842).","Semitic: *lk' > e.g. Akk. laḳāṭu Uralic: FU *luke ‘to count’ > e.g. Mari lõda-, luda-Uralic (alternative): FU *le̮ŋe̮ ‘throw, remove’ > e.g. Est. lō- ‘load’, Udmurt le-d- ‘pick (up)’, Mansi kβän loŋχəj ‘to give birth too early’","The Semitic form is directly comparable both formally and semantically, but the aim for which the comparison is employed by Bomhard (1981: 451), i.e. to prove genetic affinities, is severely hampered by the lack of further Afro-Asiatic cognates, which neither Orel & Stolbova (1995), Militarev (2006), nor Bomhard himself (2008) have been able to identify. The basic meaning of the form, then ostensibly continued uninterrupted for millennia in Semitic and PIE, surely would be expected to have been preserved in at least one of the other Afro-Asiatic branches. The nature of the term, although in its essence very basic and presumably pertinent even in hunter-gatherer communities, may also be conducive for borrowings with connotations of knowledge and learning. Such is the case with the first Uralic comparandum (UEW 253) where the term is used in a very concise technical manner, that, despite the lack of a direct semantic match in (P)IE, suggests itself as a loan exactly because of this narrow reception. Its distribution may be extended beyond Fenno-Ugric with a single semantically discontinuous Samoyedic form in Nenets lāχnā- ‘to speak’, which would render the formation archaic in Uralic. As argued in the case of Semitic, widespread loss of the term would be unexpected and the status of the lonely Samoyedic item is thus likely ascribable to chance resemblance; a defence of the form, however, could be based on the extended meaning ‘to count, read; to tell, say, give one’s opinion’ in Saami, another branch on the periphery of the Uralic language belt, but these connotations do appear to be secondary. This first Uralic form consequently seems to have been borrowed from some late stage of PIE. Despite similar distributional challenges, the alternative Uralic form may rather reflect an inherited item, especially due its more basic and dialectally varied meaning; Čop includes the term in a defence of the Indo-Uralic hypothesis (1970: 159f.), but such a use is inhibited by the constraints in (P)IE, where it hardly constitutes a native formation in PIE. Its roots may thus tentatively be traced to the Semitic languages, arguably through agricultural substrate, and borrowed into a late stage of Uralic."
87,*legʰ-,‘to lie (down)’ (intr.),"Hit. lāki (caus.); Toch. A lake ‘bed’, Toch. B lyaśäṃ; Fal. lecet; OIr. laigaid; Goth. ligan; OCS lęgǫ; Gr. λέχεται",This item may safely be reconstructed for the oldest layers of PIE on internal evidence alone.,"Kartvelian: *lag- ‘to plant, lay’ > e.g. Georgian lag-, Svan laǯ-","Although there is some disagreement as to the semantic value of the Svan cognate (‘sacrifice’ apud Fähnrich 2007: 263; ‘to plant, attach, fasten’ according to Klimov 1998: 106), the comparison, suggested both by Gamkrelidze & Ivanov (1995: 774) and Klimov (ibid.), concerns the earliest strata of the established proto-languages, which prompts Bomhard to posit a Nostratic origin (2008: 897f.). Despite the obvious similarities, there is a semantic mismatch between the intransitive basic meaning ‘to lie (down)’ in PIE and the overtly transitive ‘to lay, plant’ in Kartvelian. The vowel qualities, too, are incompatible, unless a borrowing into a PIE so early that a received foreign [a] were treated as a native /e/ can be established, but such a scenario fails to explain the aspiration in PIE of a Kartvelian plain media. Preferably, Kartvelian could have borrowed a dialectal strain of IE that had developed the a-vocalism, e.g. from Anatolian, where the derived Hittite form has obtained transitive meaning but without excessive suffixal morphology to render the simple Kartvelian counterpart untenable. Chronologically it does seem to fit Smitherman’s estimate of a Kartvelian dialectal diversification no later than 2.600 BCE (cf. § 2.1.5). Against such a transfer is the more violent connotations of the Hittite verb; a broader meaning for the Kartvelian proto-form through the semantics of the Svan cognate may bring Anatolian and Kartvelian closer again."
88,*leh₂u-,‘to wash’,"(?)Hit. laḫḫu- ‘to pour’, CLuw. lā(ḫ)un(a)i; Lat. lavō; Gaul. lautro ‘tub’; ON laug; Gr. λοῦσις, Myc. re-wo-to-ro-ko-wo; Arm. loganam","Widespread o-vocalism makes a verbal derivation difficult to substantiate (Frisk 1960: 138f.), although a connection to the, probably denominative, molō verbs (cf. Weiss 2011: 397f. and Fortson 2010: 181) would explain this phenomenon. Kloekhorst questions the appurtenance of the Anatolian forms to the rest of the stock on formal grounds, insisting that they require a different laryngeal, thus from *leuh₃- (2008a: 512f.), but the clear resemblance in form and function, especially through Luwian, makes the comparison difficult to discard.","Sumerian: luḫ(u) ‘to wash, clean’","The Sumerian connection is defended by Sahala (2009: 9), and the semantic nature of the item either requires old relations or, more probable, a ritualistic meaning for a transfer. This latter notion may be corroborated by the Hittite ‘offering tablet for cups and pots (vel sim.)’ (GIŠ)laḫḫura-, which seems to be connected to the Hittite verb and have regional ties with a putative Old Assyrian *laḫuzzinnum ‘a vessel’ (cf. Kloekhorst 2008a: 513f.), and, if this implement ultimately does come from Middle Eastern cultic rituals, the Hittite forms may, indeed, be cut off from the rest of the IE, and likely even Anatolian, stock. To conclude that the entire bulk of IE evidence belongs to Sumerian seems too radical. *(l)iekʷ-r ‘liver’, see item 63 under *i-"
89,*linom,"‘flax, linen’",Lat. līnum; OIr. lín ‘net’; (?)Goth. lein; Lith. lìnas; OCS lĭněnŭ; Gr. λίνον.,"The Germanic forms have traditionally been considered borrowings from Latin, but the phonetic shape of the word makes it rather resilient to change, and it may well be inherited. Confined only to European branches, this item can hardly be considered ancient within PIE, and even stratification to middle or late stages is hampered by the lack of Indo-Iranian evidence.",NE Caucasian: *λ̱winˀɨ ‘seed (esp. flaxen)’ > e.g. Lak hanna ‘seeds’,"Mallory & Adams assert that the most likely origin of the PIE data is to be found in a non-IE language of Europe (1997: 206), and, although the geographic requirement is not exactly met, a good candidate is found in the NE Caucasian forms suggested by S. Starostin, ostensibly internally derived from a verbal root (2009: 92). A point of entry is difficult to pinpoint in light of the lopsided IE evidence and almost necessarily requires loss in the Indo-Iranian branch, but the connection seems inevitable, in the direction from the Caucasus into (P)IE, possibly spread secondarily as a wanderwort that stayed impervious to etymological detection due to its almost universally agreeable shape."
