headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
CLAY	doubtful	*ūrā/i- (OIr. ú(i)r ‘mold, earth, clay, soil’)	*ūra- (Du. oer << LG ūr ‘ferriferous sand, bog iron’)	EDPG 561	LX	IE? (0), L (I-IV)	IE? (0), L	I-IV	If related CG *ūr- may be an isogloss or loanword of any age. However, the cognates are too short to exclude chance resemblance.	page:32
CREAM	doubtful	*ϕlouVno- (OIr. löon, löan, lón ‘fat, provisions, food’)	*flauma(n)- (OHG floum ‘cream, raw leaf-lard’, LG Flom (en) ‘belly fat’)	L262	MO/SM	IE(?)	IE(?)		CG semantic expansion of PIE *pleu- ‘to swim, float, flow’ to the meaning ‘cream, fat, lard’. However, it is trivial to derive ‘cream’ from a verb meaning ‘to float’, because cream naturally floats on top of the milk from which it is extracted. Lard may similarly be rendered by cooking offal in water and allowing the fat to float to the top. Celtic and Germanic may share a mnstem, cf. PG *reuman-, *rauma(n)- ‘cream’. This requires that *m was lost in Celtic in the vicinity of the root-final labial, as it was in Av. raoɣna- ‘butter’ < *Hroug( ʰ) -mno-. However, OIr. löon was disyllabic, implying that this loss of *m was after the Celtic vocalization of syllabic *m to *am, or that Celtic received an unexplained root extension in a laryngeal.	page:32
DARK	doubtful	*dergo- (OIr. derg ‘red’)	*derka- (OE deorc ‘dark’)	L258, IEW 251, EDPC 95, EDPG 93	MO	IE (0)	IE	0	Celtic and Germanic share an adjective *dʰerg-o-. Due to their divergent meanings, however, it is uncertain that the two adjectives are etymologically related. Germanic has semantically more attractive cognates in ToA tärkär, ToB tarkär ‘cloud’ < *dʰrg-ru- and Lith. dargà ‘bad weather’ < *dʰorg-eh2-. The appurtenance of the Celtic word to this root is less certain; even if it shares the root connection, the dissimilar semantics imply that usage as an adjective is independent.	page:33
DIRT	doubtful	*korkāko- (MIr. corcach ‘moor’)	*hurhwa- (ON horr ‘mucus’, OE horh, horg, horu ‘spit’, OS horu ‘mud’, OHG horo ‘dirt, mud, manure’)	IEW 573-574, EDPG 258	RT	IE? (0)	IE?	0	Perhaps a CG *k(o)rk was expanded with *-uo- in Germanic and *-āko- in Celtic. However, the original meaning in Germanic is not secure. If the original meaning in Germanic was ‘spit’, then the isogloss may be rejected in favor of a sound-symbolic origin.	page:33
EVIL	doubtful	*uϕelo- (OIr. fel ‘evil’)	*ubila- (Go. ubils, OE yfel, OS uƀil, OHG ubil ‘evil, bad’)	IEW 1106-1107, EDPC 396, H65, EDPG 557	MO	IE (0), ML (I)	IE (0), ML	I	Celtic and Germanic uniquely share a formation *h2up(h1)-elo-‘evil’ from the PIE root *h2uep(h1)- ‘to treat badly’ or perhaps *upo- ‘under, below’. The isogloss is doubtful because OIr. fel is only found in glossaries and may be back-formed from felbas ‘sorcery’, which may in turn be analyzed as a compound of fell ‘treacherous deed’ and fis ‘knowledge’. However, the single -l in fel and felbas remains unexplained in the latter scenario.	page:33
FAULT	doubtful	*loxtu- (OIr. locht ‘shame, fault, offense’)	*lahan- (Icel. lá, OE lēan, ‘blame’, OS lahan, OHG lahan ‘blame, prohibit’)	H67, EDPG 322	RT	IE? (0)	IE?	0	If related, a CG root *lok- may be posited. This isogloss is not compelling, however, because OIr. locht can also be explained as having split off from OIr. lucht ‘charge’ by generalization of the lowered root vowel in gen. sg. lochtae. The root vowel of lucht cannot be reconciled with the Germanic.	page:33
FIBULA	doubtful	*delgos- (OIr. delg ‘thorn, peg, spike, brooch fastening the mantle’, W dala ‘sting, bite’)	*dalka- (OE dalc, dolc ‘clasp, buckle, brooch’, ON dalkr ‘cloak-pin’)	L249, EDPC 94, LIV² 113-114	SM	IE(?)	IE(?)		With Lith. dilgė́ti (dìlga, -jo) ‘to sting, ache, itch’ < *d( ʰ) lg- and additional Baltic comparanda, there appears to be a shared root *d( ʰ) elg- ‘to sting’, which in Celtic and Germanic acquired the meaning ‘cloak-pin’ or ‘brooch’. A caveat is that this is only one out of a range of meanings in Irish and Welsh appears to preserve the older meaning ‘sting’. This could indicate that the meaning ‘brooch’ developed independently in Irish and Germanic.	page:33
FORTIFICATION	doubtful	*brig- (OIr. brí ‘hill’), *brigā (W, MB, Co. bre ‘hill’, Gaul. toponymical -briga ‘hillfort’)	*burg- (Go. baurgs ‘fortified place; city’, ON borg ‘town, citadel; small hill’, OE burg, OHG burg ‘city’)	L251, Kr125, IEW 140-141, EDPC 77, EDPG 85, Ko12	SM	IE(?)	IE(?)		PC *brig(ā) ‘(fortified) hill’ and PG *burg- ‘fortified place, town’ continue a zero-grade root noun of PIE *bʰerǵʰ- ‘to be high, hill’ (cf. Av. bərəz- ‘mountain’) and uniquely expand the meaning with ‘fortified hill, settlement’. However, this meaning is only inferred from Continental Celtic toponyms, as Insular Celtic reflexes retain the bare meaning ‘hill’. The evidence for the meaning ‘hillfort’ in Continental Celtic may be skewed by the fact that place names for built-up places are more likely to be transmitted in our sources than bare hills.	page:33
FRIEND	doubtful	*karant- (OIr. cara, W car ‘friend’, B kar ‘parent’, OCo. car gl. amicus)	*frī̆(j)ōnd- (Go. frijonds, ON frændi, OE frēond, OHG friunt ‘friend’)	IEW 515, 844, Schu178, EDPC 190, EDPG 155	MO/SM	IE	IE		Both Celtic and Germanic have a nominalized present participle of the verb ‘to love’ in the meaning ‘friend’, however the base verb differs. If these forms are related, it must be a calque from Germanic to Celtic because nominalized present participles are common in the former and not the latter, cf. PG *f ī̆(j)and- ‘enemy’. However, the isogloss is judged as doubtful because nominalized present participles are not completely unparalleled in Celtic, cf. OIr. cana ‘poet, chanter’, náma(e) ‘enemy’. The derivational parallelism may therefore be coincidental, cf. Oss. lymæn | limæn ‘friend, lover’ < PIr. *frii̯amna-‘the beloved one’.	page:33
HAIR	doubtful	*dogʷlo- (MIr. dúal ‘native, fitting; lock, tress, plait, fold’), *dogʷlio- (W dull ‘manner, method, arrangement, pattern, line; plait, fold’, B duilh ‘handful, bundle, bale of straw’)	*tagla- (Go. tagl, ON tagl, OE tægl ‘(horse’s) hair’, OHG zagal ‘tail, sting, penis’)	L256, EDPC 102, H78, EDPG 504, Hyllested 2014, 143-4	LX	IE (0), ML (I-II)	IE (0), ML	I-II	If related, and assumed that the C reflex of PIE *gʷʰ merged with *u in this position, a CG isogloss *dogʷʰlo- may be reconstructed. The hitherto accepted proto-form *doklo- must be rejected in view of the Brittonic evidence, cf. PC *moniklo-> W mwnwgl ‘neck’ for the development of PC *-kl-; therefore Skt. daśā ‘fringe’ cannot be cognate with the Celtic. The comparison is semantically imperfect: in Celtic it appears to have meant ‘arrangement (e.g. of hair, thread); mode’ originally, whereas the Germanic meaning is simply ‘hair’.	page:34
HIDE	doubtful	*skanto- (B skant ‘scales’)	*skinþa- (ON skinn ‘skin’, OS biscindian ‘to skin, flay’, OHG scindan, scintan ‘to skin, flay, peel off’)	L257, IEW 929-930	RT/LX	IE? (0), L (I)	IE? (0), L	I	If related, a CG *sken- ‘skin, to peel’ may be reconstructed. The isogloss is non-compelling: the Celtic word is restricted to Breton and the semantic connection is imperfect. Alternatively, Lat. scandula ‘shingle (for a roof )’ > MFr. escande ‘shingle’ might be the source of the Breton, but this would require a semantic shift from ‘shingle’ to ‘scale’.	page:34
HORSE 2	doubtful	*kankist-ikā or *kanx-s-ikā (W caseg, B kazeg ‘mare’)	*hanhista- (ON hestr ‘stallion, horse’), *hangista- (OE hengest, hengst, OFri. hengst, hangst, hingst, ODu. hingest, OHG hengist ‘gelding, horse’)	Pedersen 1913, 29, IEW 522-523, Pl284, Jørgensen 2006, 64-66, H76, EDPG 209, Ko9	SM/MO	CGL (I-II)	CGL	I-II	Pedersen and IEW reconcile the Germanic and Celtic by assuming a CG formation *kankisto-. This form is directly continued by Germanic with Verner alternation. The Celtic would be a derivative *kankist-ikā. However, this form can only yield the attested Celtic forms by assuming an irregular early syncope to *kankstikā, and even then the medial consonant cluster would probably yield *-st-, not *-s- in British Celtic. Assuming that *kankist-ikā went through regular syncope at a later date is also problematic, as post-syncope clusters containing a nasal and s generally retain the nasal, so the expected outcome would be e.g. W **can(g)seg, cf. PC *ammV(n)-sterā > W amser ‘time’. A shared proto-form *kankisto- therefore comes at the cost of assuming one or more ad hoc sound laws. Jørgensen’s etymology derives the Brittonic forms from PC *keng- ‘to go, step’ through a formation *kanx-s-ikā. Here, the expansion in *-s- may be compared to the *-s- in *kanx-s-man ‘step’, from the same root, and *-ikā denotes a feminine noun derived from the adjectivalizing *-iko-. This pre-form *kanx-s-ikā is then equated by Koch to PG *hangista- ~ *hanhista-, where the Germanic presumably goes back to pre-PG *kank- followed by a superlative suffix. While this equation through a shared pre-form *kank- is formally possible, it has a number of disadvantages. For Celtic, such a pre-form cannot be reconciled with the root *keng-, and the segmentation of the Celtic as *kanx-s-ikā becomes arbitrary in absence of this root connection. For Germanic, segmentation into pre-PG *kank-isto- implies a superlative suffix, but this suffix implies that the word was originally an adjective, but no trace of usage as an adjective exists.	page:34
INGOT	doubtful	*tin(n)V- (OIr. tinne ‘ingot, bar, rod of metal’)	*tina- (ON tin, OE tin, OS tin, OHG zin ‘tin’)	McManus 1991, 37, EDPG 517	LX	ML (III-IV)	ML	III-IV	Within Germanic, the word appears connected with an ablauting variant *taina-, cf. MHG zein(e) and MLG tēn, which besides ‘twig, rod’ also means ‘ingot, bar of metal’. OIr. tinne has been analyzed as a derivative of tind ‘brilliant’ or tend ‘strong’, but this derivation is rather more speculative because no single formation meaning both ‘strong’ and ‘bar, ingot’ is found. The geminate -nn- in OIr. tinne may be analyzed as from a singulative *tin-inio-, giving the meaning ‘single item made of tin’; alternatively, the double *-nn- in Celtic was original, and Germanic borrowed it as a single *-n-, as in e.g., PC *granno- ~ PG *granō- ‘beard’. A correspondence between Germanic *t- and Celtic *t- implies a loanword one way or another, and because the Germanic has the more plausible intra-Germanic connections, Germanic to Celtic is the more likely direction of borrowing. However, the language-internal etymologies in both branches make chance resemblance equally likely. It is also possible that the Irish is a Stratum IV borrowing from OE tin ‘tin’ or tinn ‘beam, rafter’.	page:34
LABOR	doubtful	*ϕidu- (OIr. idu ‘pain, pangs (of childbirth)’)	*fitan- / *fetan- (Go. fitan ‘to be in labor’)	L256, IEW 830, EDHIL 420, EDPC 127	RT	IE? (0)	IE?	0	A CG root *ped- may be proposed on the basis of these forms. However, OIr. idu may also be connected to Arm. erkn ‘pains of childbirth’, Gr. ὀδύνη ‘pain’ < PIE *h1eduōn. A direct reflex of this root should have given OIr. **idb, however, the final vocalism may have been restored on the basis of oblique forms *h1dun-.	page:34
LEPROUS	doubtful	*tru(d)sko- (OIr. trosc ‘leprous, leper’, W trwsgl, ‘awkward, crude, rash’, Co. trosgan, B trouskenn ‘scab’)	*þrūt(s)- (Go. þruts-fill, OE þrūst-fell ‘leprosy’)	L257, IEW 1096-1097, EDPC 391, H28	SM	IE?	IE?		Derivatives of PIE *treud- ‘to push, thrust’ may mean ‘leprosy’ in both C and G. However, the derivations meaning ‘leprosy’ differ, and the long vowel in G is likely the result of secondary ablaut, implying that the G derivative meaning ‘leprosy’ is rather late and likely independent from the Celtic.	page:35
MEMBRANE	doubtful	*kenno- (OIr. cenn, W cen, B kenn ‘skin, membrane, dandruff’)	*hin(d)nō(n)- (ON hinna, OE hion(ne) ‘thin skin, membrane’), *hindō- (Far. hind ‘membrane’)	L256, IEW 567, EDPG 226	LX	IE? (0) L (I)	IE? (0) L	I	If related, a Celto-Germanic n-stem *kent-on- may be reconstructed, where an oblique case form, e.g., gen. *kent-n-es, was generalized in Celtic. In lack of any good parallels, it is unclear, however, whether *-ntn- gives *-nn- in Celtic. The appurtenance of the formally identical Lat. centō ‘blanket, patched cloth’ is less certain in view of the semantic difference. For Celtic, an alternative reconstruction to PC *kisnā is possible, which could then be related to Lith. šikšnà ‘hide, leather, belt’ < *ḱis-neh2-, but this requires that the medial k is intrusive in Lithuanian.	page:35
ONE-EYED	doubtful	*kaiko- (OIr. cáech ‘one-eyed’, W coeg-ddall ‘half-blind’, OCo. cuic ‘one-eyed’)	*haiha- (Go. haihs ‘one-eyed’)	L256, IEW 519-520, H55	SM	IE(?)	IE(?)		The meaning ‘one-eyed’ versus ‘blind’ is shared in Celtic and Germanic, cf. Lat. caecus ‘blind’. However, the original meaning may have been ‘one-eyed’ (cf. Skt. kekara- ‘squint-eyed’), and the semantic shift is trivial in either direction.	page:35
PLEASANT	doubtful	*tek-o/ā- (W teg, B tek ‘pretty’, MCo. tek ‘fair, pretty’), *an-teki-, (OIr. étig ‘unnatural, unseemly’)	*þakkja- (ON þekkr ‘pleasant’, OHG (Hl. 25) dechisto (superl.) ‘dearest’)	L263, Lühr 1988, 232, EDPG 532	LX	ML (I-II)	ML	I-II	A CG adjective *tek- ‘fair, pleasant’ may be adduced; however, the ON form is ambiguous, because it can also be analyzed as continuing *þanki-, i.e., a gerund to PG *þankōn- ‘to thank’. OHG dechisto is a hapax, which taken at face value points to *tok-ní- through Kluge’s law. However, an OHG hapax alone is too small a base for assuming a compelling CG isogloss.	page:35
POLE	doubtful	*mazdio- (MIr. maide ‘post, stick, bundle’)	*masta- (OE mæst, OS mast, OHG mast ‘mast, pole, stick’)	IEW 701-702, EDPC 260, EDPG 357, Ko7	LX	3L (I-II)	3L	I-II	If uniquely related, CG *mazd(i)o- may be reconstructed. The status of this isogloss depends on whether Lat. mālus ‘mast, pole, beam’ is related. The Latin connection can bemaintained by either reconstructing a shared proto-form *mazd-slo- or by assuming an irregular development of earlier Lat. *mādus to mālus.	page:35
POOL	doubtful	*lindV- (Gaul. linda ‘beverages’, OIr. lind ‘liquid; pool, lake’, W llyn ‘drink; lake’)	?*linda- (ON, Far. (poet.) lind ‘spring, source’, ?OFri. lind ‘lake’, ?MHG lünde ‘wave’)	L253, IEW 675, Kr140, H92, Ko8	LX	IE? (0), ML (III, IV), GCL (II)	IE? (0), ML (III, IV), GCL	II	If the connection between the Celtic and Germanic forms is accepted, a common root *lendʰ- may be reconstructed. However, the Old Frisian attestation is uncertain, and MHG lünde ‘wave’, if not rather connected to OFr. onde, l’onde ‘(the) wave’, would presuppose an unrelated formation *lunþjō-. In addition, there is a possibility that the West Norse words were borrowed from Celtic. In view of these objections, the Celto-Germanicism remains a possibility at best.	page:35
QUICK	doubtful	*ϕeimi- (OIr. éim ‘prompt, quick, timely’)	*fima- (ON fimr ‘nimble’)	L261, Blöndal 1989, 175	RT/LX	IE? (0), L (I)	IE? (0), L	I	The isogloss presupposes a CG root *p(e)i- suffixed with *-moand *-mi-, but the evidence for such a root is slim: it is not certain that the Celtic form had *p- and otherwise only *-ei- is left to compare. The paucity of the phonological material makes the isogloss conjectural even if no formal or semantic objections can otherwise be made.	page:35
RAVE	doubtful	*uāti- (Gaul. οὐάτεις (pl.), OIr. fáith ‘prophet, seer’), *uātu- (OIr. fáth ‘prophecy’, W gwawd ‘song’)	*wōda- (Go. wods ‘possessed’, ON óðr ‘frantic, furious, OE wōd ‘insane’), *wōdi- (OHG wuot, MDu. woet ‘rage’), *wōþa/ō- (ON óðr ‘mind, song’, OE wōð ‘sound, voice’)	Kr139, EDPC 404, H12, EDPG 592, Ko13	RT	IE? (0)	IE?	0	The various formations in both branches allow reconstruction of a CG root *(H)ueh2- or *(H)ueh3-, and the variety of formations implies the word has considerable pedigree in both branches. The use of a ti-suffix in animate nouns is reminiscent of *gʰos-ti- ‘guest’. The Celto-Germanicism is doubtful because Lat. uātēs ‘foreteller, seer’ may be cognate, but may also be a borrowing from Celtic.	page:35
ROCK	doubtful	*krak-ī-, *krek-ī- (W craig ‘rock’), *karrikā (W carreg, B karrek ‘stone’)	*hargu- (ON hǫrgr ‘pile of rocks, sanctuary’, OE hearg ‘pagan temple, idol’, OHG harug ‘grove), *harha(n)- (Elfd. ar m. ‘bedrock’, Nw. har(e)‘cliff, rocky bottom’, Du. dial. hare ‘hillock’)	EDPG 211	LX	3L (I-II)	3L	I-II	A CG *kVr(r)Vk- may be reconstructed, but Celtic *-ra/re- ~ *-arri- versus Germanic *-ar- provide an imperfect formal match, and the correspondence of a consonant skeleton only makes a non-IE ultimate source possible. Semantically, the match is also imperfect in that the word refers to a single rock in Celtic versus a whole mound in Germanic. MIr. crec, crac, Sc.G creag ‘crag, rock’ may be borrowed from Welsh.	page:36
ROPE	doubtful	*kom-uorko- or PBr. *kom-uarko- (W cywarch, OB coarcholion gl. canabina, B kouarc’h ‘hemp’)	*werka- (WFri. wurk, MDu. werc, OHG wer(i)h ‘string of hemp, rope’)	L249, IEW 1155, EDPG 580	RT/LX	IE? (0), GCL (III-IV)	IE? (0), GCL	III-IV	The Germanic forms appear derived from *wergan-, *wurgjan-‘to strangle’, where the final *k can be the result of Kluge’s law *werka- < *werkka- < PIE *uerǵʰ-nó-. An o-grade PG *warka- could be the source of W cywarch, B kouarc’h, but such an o-grade reflex is not actually attested, and even then the date of borrowing may well be post-PG. Alternatively PG *werka- could be unrelated to *wergan-, *wurgjan- and a CG root *uerk- ‘hemp’ was continued in the o-grade in Brittonic while PG *werka- continues *uerk-nó-. Both scenarios are doubtful because they presume that the Brittonic forms were prefixed with *kom-, but this segmentation with a prefix may not be correct.	page:36
SEDIMENT	doubtful	*grāuā (W gro ‘pebbles, gravel, sand’, OCo. grou ‘sand’)	*gruwwa- (Icel. grugg ‘sediment’)	IEW 460, Zair 2013, EDPG 193	LX	IE (0), L (I)	IE (0), L	I	Celtic and Germanic appear to have two different formations *g( ʰ) rHu-eh2- and *gʰru(H)-o- with similar meanings, but the implied laryngeal metathesis complicates the comparison. A connection with PIE root *gʰreh1u- (cf. Lith. griáuti ‘to tear down’ and griū́ti ‘to collapse’) is possible. However, the Celtic formation has more convincingly been connected to the root *ǵrH- as in *ǵrH-no- ‘grain, kernel’, cf. OIr. grán, Lat. grānum, Go. kaurn and *ǵrH-ro-, cf. Lat. glārea ‘gravel’ (< *grārea).	page:36
SLAY	doubtful	*slak-kV- (OIr. slacc ‘sword’), *slak-to- (MIr. slachta ‘hit’)	*slahan- (Go. slahan, ON slá, OE slēan, OHG slahan ‘to beat, slay’)	L248, H42, EDPC 345, EDPG 452	RT	L (I)	L	I	A CG root *slak- can be adduced. The OIr. hapax slacc and its derivatives may alternatively have an intra-Celtic connection in PC *slad- ‘to hit, slay’, cf. OIr. slaidid ‘strikes, slays’, destroying the Celto-Germanicism. This would require derivation with suffix *-kV- for slacc, and then slachta would have to be derived from slacc. However, this derivation is poorly understood, because suffixes in *-kV- are usually found in nouns derived from prepositions, cf. OIr. aicce ‘nearness, fosterage’, W ach ‘beside, lineage’ < PC *ad- ‘to’. The geminate in slacc also requires a derivation with *-kV- if the CG root *slak- is to be maintained.	page:36
SPEAK	doubtful	*rād-ī- (OIr. ráidid, W adrodd ‘to speak’)	*rōdjan- (Go. rodjan ‘to speak’, ON rœða ‘to speak, converse’)	L258, Kr140, Pr122, EDPC 305, H79, EDPG 415	SM	IE(?)	IE(?)		Celtic and Germanic uniquely use causative formations of the PIE root *(H)reh1dʰ- ‘to take care of, arrange’ with the meaning ‘to tell, speak’. However, Lith. ródyti ‘to show, indicate, demonstrate’ is rather close in meaning, as telling is merely a particular form of indicating.	page:36
SPLIT	doubtful	*sϕlissi- (OIr. slis ‘shaving(s), splinter(s)’)	*splītan- (MDu. spliten, MHG splīzen ‘to split’)	L262, IEW 1000, EDPG 468	RT	IE? (0)	IE?	0	A CG root *spleid- ‘to split’ has been argued to be continued as *splid-ti- in Celtic and as *spleid-e- in Germanic. If so, the occurrence of dental assibilation in the Celtic form implies that the root is exceedingly archaic, so this word may be a shared archaism. David Stifter (p.c.) instead proposes a connection with Ir. sligid ‘cuts, fells’, i.e. PC *sli(x)-sti- ‘cuttings’ > sliss.	page:36
SPRUCE	doubtful	*ϕ(o)uxtākā (OIr. ochtach ‘pine, ridge-pole’)	*feuhtjōn- (OHG fiuhta ‘spruce’)	Pedersen 1913, 44, Birkhan 1970, 524, Pr118, EDPG 139	MO	IE	IE		Celtic and Germanic uniquely expand the PIE root *peuḱ- ‘to stab’ with *-t-. The ablaut grades differ in Celtic and Germanic, but the Celtic may go back to a full grade by assuming a secondary shortening analogous to OIr. ochtrach ‘dung mound’ < *óchtrach. The isogloss is not compelling because OIr. ochtach can also be derived from PC *oux(s)tākā, and be related to OIr. óchtar, úachtar ‘upper part, top’ < PC *oux(s)tero-. The semantic shift would be parallel to OIcel. þǫll ‘pine’, if it is from PIE *telh2- ‘to raise up’.	page:36
STEEP	doubtful	*sterto- (W serth ‘steep, slanted, obscene’, syrthio ‘to fall’, B serzh ‘steep, vertical’, serzhañ ‘to sail upwind’)	*sterþ/dja- (OIc. stirðr ‘stiff’), *sturþ/dō (Icel. storð ‘grass, green stem’)	IEW 1022-1027, Blöndal 1989, 962, 967	LX	IE (0), ML (I-II)	IE (0), ML	I-II	If related, a CG *stert(i)o- ‘steep, stiff’ may be reconstructed. The connection is uncertain because the Germanic is also compatible with a root *sterdʰ-, which allows for a connection with Gr. στόρθη Hes., στόρθυγξ ‘point’ instead of the Celtic.	page:37
STEP	doubtful	*keng- (OIr. cingid, W rhy-gyng ‘tread, step, amble’)	*hinkan- (OE hincian, MDu. hinken, OHG hinkan ‘limp, hobble’)	EDPC 200, EDPG 226	RT	IE? (0), ML (I-II)	IE? (0), ML	I-II	CG *keng- may be reconstructed. All other possible cognates have initial *s-, cf. Pāli khañjati ‘to limp’ (< Skt. ?*skañjati) and Gr. σκάζω ‘id.’, but this may be a case of s-mobile.	page:37
STRENGTH	doubtful	*trexsno- (OIr. trén ‘brave, strong’), superlative *trexsamo- (OIr. tressam, W trechaf)	*þrakja- (OE þrece ‘force, oppression’, OS wāpan-threki ‘ability with arms’, ON þrekr ‘strength, bravery’)	L248, IEW 1076, 1090, LIV² 632, EDPC 389, H32, Ko10	RT	IE? (0)	IE?	0	A CG root *treg- would connect these forms, but the root-final consonant is unsure for Celtic, which leaves some alternative connections open. The Celtic forms may alternatively be connected to PIE *tergʷ- ‘threaten, scare’, cf. Skt. tarjati ‘threatens, reviles’, Lat. torvus ‘grim, fierce’, Hitt. tarkuuant-‘looking angrily’. A connection with *tergʷ- would have the advantage that it appears to have an intra-Celtic cognate in W tarfu ‘to disturb, trouble, scare’, but it would require the assumption that the Celtic underwent Schwebeablaut, but such ablaut is paralleled by other root extensions in *s, cf. *h2euǵ-, *h2ueǵs- ‘to grow’. Ru. trógatь ‘to touch’, Latv. treksne ‘thrust’ are semantically distant and require root-final *gʰ which may be connected to the Celtic, but not to the Germanic.	page:37
STRIPE	doubtful	*streibā (OIr. sríab ‘stripe, line’)	*strīpa/ōn- (Far. strípa, Nw., MDu. stripe, MHG strīfe ‘stripe’)	L262, IEW 1028-1029, EDPG 485	LX	IE? (0), ML (I-II)	IE? (0), ML	I-II	If CG, *s(t)reib- may be reconstructed. The connection is speculative because the Germanic may also be from any other labial stop through Kluge’s law followed by shortening of overlong syllables. Evidence that the root-final *p is secondary can be adduced from the possibly related MLG streven ‘to stretch, strive’, MHG streben ‘to get up, resist, strive’ < PG *stribōn- < pre-PG *stribʰ-. A rootfinal *bʰ is compatible with the Celtic, but also invites comparison with the semantically imperfectly matching Gr. στριφνός ‘dense, solid, firm’. The Celtic may alternatively be derived from PIE *streig-ueh2-, cf. Lat. striga ‘strip, row’ < *strig-eh2-.	page:37
STRIVE	doubtful	*(ϕ)leid-o- (W llwyddo ‘to succeed’), *(ϕ)loid-ī- (MIr. laídid ‘exhorts, incites’ )	*flītan- (OE flītan ‘to contend, strive, scold’, OHG flīzan ‘to attempt, try hard’)	IEW 666, KPV 521-522, EDPC 133, H49, EDPG 147	RT	IE? (0), ML (I)	IE? (0), ML	I	If related, a Celto-Germanic root *pleid- ‘to strive, succeed’ may be reconstructed. MIr. laídid ‘exhorts, incites’ < *(ϕ)loid-īwould then be a causative formation, unless it is a denominal verb based on OIr. loíd ‘(type of ) poem, song’ (David Stifter, p.c.). This root and its formations are possibly archaic. However, the Celtic may also go back to PC *leid-, a reflex of PIE *leid- ‘to push, play, let go’, cf. Gr. Hes. λίνδεσθαι ‘to contend’, Lat. lūdō ‘to play’ and Lith. léisti ‘to let, publish, send, urge’. Because PIE *p- is lost without a trace in this position in Celtic, the matter cannot be decided with certainty.	page:37
SUFFERING	doubtful	*aglitā (W aeled ‘pain, suffering, grief’)	*agliþō- (Go. agliþa ‘tribulation’)	L257, IEW 7-8, EDPC 27, H57, LIV² 257, EDPG 4	MO	GCL (I-II)	GCL	I-II	Both C and G appear to continue t-expansions of PIE *h2egʰ-leh2-(Skt. aghrā- ‘evil’, YAv. aɣrā- ‘name of an illness’, Go. aglo ‘tribulation’). However, these expansions must be independent in PC *aglātu- (MIr. álad ‘wound’, W aelawd ‘grief, affliction’), as they appear to be derivations in *-tu-, while the Germanic (highly productive) derivation in *-iþō < *-i-tā is secondary from *agljan-, cf. G agljan ‘to hurt’. A pre-PG *aglitā provides a suitable parallel formation or donor form for W aeled, but it requires the assumption that the W masculine noun was originally feminine.	page:37
SWIFT	doubtful	*kribV- (OIr. crib, crim ‘quickly, swiftly’)	*hrappa- (Icel. hrapa ‘to fall down’, Nw. rapa ‘crash down’, MDu. rap, ‘swift, fierce’)	Blöndal 1989 366, EDPG 243	LX	3L (I)	3L	I	This isogloss presumes a CG root *kreb(ʰ)- that is continued in the zero grade in Celtic, and in the o-grade in Germanic. This root violates PIE root constraints and is therefore unlikely to be of Proto-Indo-European age. The spelling crim is also attested in OIr., which, if original, would remove the isogloss and allow for a connection with W cryf, B kreñv ‘strong’ instead.	page:37
SWIRL	doubtful	*s(t)rit-antī (OIr. srithit ‘stream (of milk, blood)’)	*streþan- (OHG stredan ‘to seethe, swirl’), *straþma- (MHG stradem ‘swirl’), *struþla- (NHG Strudel ‘whirl, vortex’)	IEW 1001-1002, EDPG 484	RT	IE? (0), L (I)	IE? (0), L	I	A CG root *s(t)re(i)t- ‘to flow’ may be posited, but the precise formation of OIr. srithit is unclear, making the root connection uncertain as well. OCo. stret, MCo. streyth ‘stream, brook’ must be read as containing a final /ð/ < PC *d, so they are unrelated.	page:38
TESTICLES	doubtful	*kallio- (W caill, B kell ‘testicle’), *kallu- (OIr. caull ‘testicle’), *kalluko- (OIr. cullach ‘boar, stallion’, MB callouch ‘uncastrated’)	*skalla(n)- (OE sceallan, MHG schellen, OFri. skall ‘testicle(s)’), *skelhan- (OHG scel(ah)o, OLFra. skelo, MLG schele ‘stallion’ (whence NHG be-schälen ‘to cover (a mare)’)	L256, IEW 292	RT	L (I-II)	L	I-II	A CG root *(s)kal- may be reconstructed. However, another possibility is that the Celtic is word is related to Gr. κήλων, -ωνος, Dor. κάλων ‘stallion, male ass’ (< “having testicles”?), through a shared root *ḱ(e)h2l-. This root would be incompatible with PG *skelhan- on account of the latter’s e-vocalism.	page:38
THIRST	doubtful	*tartu- (OIr. tart ‘dryness, thirst’, W tarth ‘steam’)	*þurstu- (OE þurst, þyrst, OS thurst, OHG durst ‘thirst’)	L259, EDPC 371, EDPG 553	MO	IE (0)	IE	0	Celtic and Germanic share a tu-derivation to the PIE root *ters-‘dry’, but it is unclear whether this represents a PIE archaism or could be due to independent innovations. The semantic shift of ‘dryness’ to ‘thirst’ is trivial and shared with e.g., Avestan taršna- ‘thirst’.	page:38
